dataset,method_config,family,benchmark,k_policy,seeds,mean_ari,std_ari,n_seeds,mean_seconds
151673,spagcn (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.186,0.0,1,15.47
151673,spagcn (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.186,0.0,1,15.63
151673,spagcn (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.186,0.0,1,14.35
151673,spagcn (oracle-K),sota,non_oracle_k_sota,oracle,42,0.418,0.0,1,40.77
151673,stagate (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.1364,0.0,1,44.89
151673,stagate (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.1364,0.0,1,45.36
151673,stagate (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.1364,0.0,1,44.26
151673,stagate (oracle-K),sota,non_oracle_k_sota,oracle,42,0.2121,0.0,1,47.8
151673,agglomerative@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.0993,0.0,3,7.07
151673,agglomerative@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1479,0.0,3,8.24
151673,agglomerative@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2456,0.0,3,7.83
151673,birch@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.0882,0.0,3,7.59
151673,birch@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1701,0.0,3,7.91
151673,birch@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.235,0.0,3,7.95
151673,gaussian_mixture@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1653,0.018,3,7.6
151673,gaussian_mixture@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2351,0.0363,3,8.89
151673,gaussian_mixture@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.299,0.0217,3,8.35
151673,kmeans@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1742,0.0058,3,7.38
151673,kmeans@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2501,0.0247,3,8.14
151673,kmeans@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2628,0.0185,3,7.79
151673,spectral@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1683,0.0,3,10.65
151673,spectral@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2423,0.0002,3,9.29
151673,spectral@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.3019,0.0,3,8.12
151674,agglomerative,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2213,0.0,3,3.71
151674,birch,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2528,0.0,3,3.85
151674,bisecting_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2961,0.0023,3,3.55
151674,dbscan,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0,0.0,3,3.73
151674,gaussian_mixture,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2693,0.0377,3,3.92
151674,kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2981,0.0043,3,3.72
151674,mean_shift,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0062,0.0,3,11.11
151674,minibatch_kmeans,sklearn,5x10_dlpfc,oracle,"42,1,2",0.2646,0.039,3,3.71
151674,optics,sklearn,5x10_dlpfc,oracle,"42,1,2",0.0001,0.0,3,5.59
151674,spectral,sklearn,5x10_dlpfc,oracle,"42,1,2",0.1762,0.0001,3,4.18
151674,spagcn (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.1994,0.0,1,15.48
151674,spagcn (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.1994,0.0,1,15.56
151674,spagcn (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.1994,0.0,1,15.66
151674,spagcn (oracle-K),sota,non_oracle_k_sota,oracle,42,0.2734,0.0,1,11.07
151674,stagate (est-K:ensemble),sota,non_oracle_k_sota,estimate,42,0.2075,0.0,1,46.88
151674,stagate (est-K:silhouette),sota,non_oracle_k_sota,estimate,42,0.2075,0.0,1,45.81
151674,stagate (est-K:spatial_sil),sota,non_oracle_k_sota,estimate,42,0.2075,0.0,1,46.4
151674,stagate (oracle-K),sota,non_oracle_k_sota,oracle,42,0.2131,0.0,1,44.25
151674,agglomerative@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1188,0.0,3,7.45
151674,agglomerative@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2213,0.0,3,7.84
151674,agglomerative@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.3,0.0,3,7.77
151674,birch@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.118,0.0,3,7.67
151674,birch@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2528,0.0,3,7.58
151674,birch@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2769,0.0,3,7.76
151674,gaussian_mixture@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2083,0.0052,3,8.15
151674,gaussian_mixture@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2693,0.0377,3,8.22
151674,gaussian_mixture@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2943,0.0065,3,8.36
151674,kmeans@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2097,0.0272,3,8.55
151674,kmeans@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2981,0.0043,3,7.61
151674,kmeans@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2673,0.0415,3,8.07
151674,spectral@sw0.0,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2177,0.0004,3,10.04
151674,spectral@sw0.3,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.1762,0.0001,3,8.81
151674,spectral@sw0.8,spatial_aware,5x15_spatial_aware,oracle,"42,1,2",0.2803,0.0,3,7.85
